brand_string,brand_id,symbol_id,url,preprocessed_index
ARGO,29652,10003,https://www.amazon.com/-/es/DCS-239-ARGO-Baking-Powder-12-oz/dp/B00N9TX628,27612
CAPULLO,29652,10003,https://www.amazon.com/dp/B00MQE0OB8,4441
DROMEDARY,29652,10003,https://www.amazon.com/dp/B000SRJQAA,20438
FLEISCHMANNS,29652,10003,https://www.amazon.com/Fleischmanns-Instant-Dry-Yeast-pk/dp/B06XPMKXFW,11589
FLEISCHMANNS SIMPLY HOMEMADE,29652,10003,https://www.amazon.com/Fleischmanns-Compressed-Fresh-Yeast-Pound/dp/B07BBT2D2Y,11591
GOLDEN GRIDDLE,29652,10003,https://www.amazon.com/Golden-Griddle-Syrup-24oz-Pack/dp/B00FQ76632,12948
KARO,29652,10003,https://www.amazon.com/Karo-Dark-Syrup-Fructose-Gluten/dp/B00C0CF3B2,2765
KINGSFORD,29652,10003,https://www.amazon.com/dp/B08PDQVNCS/,9750
MAZOLA,29652,10003,https://www.amazon.com/Mazola-100-Pure-Corn-Pack/dp/B07S11FFMN,10004
SIMPLY HOMEMADE,29652,10003,https://www.amazon.com/White-Squat-Glass-Plastic-Dispenser/dp/B07P6FL4LG,19497
SUPERIOR,29652,10003,https://www.amazon.com/dp/B0991S851H/,44516
BLUE DRAGON,30400,10003,https://www.amazon.com/Blue-Dragon-Stir-Sauce-Ounce/dp/B00C6TZP4Y,21369
GEO WATKINS,30400,10003,https://www.amazon.com/Geo-Watkins-Anchovy-Sauce-190ml/dp/B000VIHO6Y/,5726
PATAKS,30400,10003,https://www.amazon.com/Pataks-Hot-Mango-Pickle-283g/dp/B00FJ9M7US,4334
BOB EVANS,10378,10036,https://www.amazon.com/Bob-Evans-Farms-Natural-Potatoes/dp/B08175WJZ6/,22768
OWENS,10378,10036,https://www.amazon.com/Owens-Regular-Pork-Sausage-Pack/dp/B07H45BZ1G,11892
SIMPLY POTATOES,10378,10036,https://www.amazon.com/Simply-Potatoes-Shredded-Hash-Browns/dp/B0012S4XYI,19541
COACH,10665,10062,https://www.amazon.com/Womens-Shaped-Signature-coated-leather/dp/B09MY3TFM1,20746
CARTERS,10530,10066,https://www.amazon.com/dp/B075GD5F6W,6007
JUST ONE YOU,10530,10066,https://www.amazon.com/Just-One-You-Skeleton-Costume/dp/B09DBR4WSY,13486
SKIP HOP,12561,10066,https://www.amazon.com/Skip-Hop-Stackable-Container-Multi-Color/dp/B07XYM45ZQ,22057
BROWN SUGAR,11333,10124,https://www.amazon.com/dp/B088ML3H57,30594
CHAMPION,11333,10124,https://www.amazon.com/dp/B07BXVT624,10451
HANES,11333,10124,https://www.amazon.com/dp/B086KTFMD6,3279
HANES COMFORTSOFT,11333,10124,https://www.amazon.com/Womens-ComfortSoft-Escomart-Fleece-Sweatpants/dp/B07YGPPH8P,3280
HANES SILK REFLECTIONS,11333,10124,https://www.amazon.com/Silk-Reflections-Thigh-Highs-Single/dp/B000HVXBVM/,3283
HANES ULTIMATE,11333,10124,https://www.amazon.com/Hanes-Ultimate-Womens-Comfort-Panties/dp/B09BGD9QNT,3284
JUST MY SIZE,11333,10124,https://www.amazon.com/dp/B016LJ4QEE,13471
