,,brand_jarowinkler,preprocessed_values
16,15,1.0,"['ALL PHYSICIANS FORMULA BRANDS', 'ALL MIGHTY PACS OXI']"
17,14,1.0,"['ALL SOAP & GLORY BRANDS', 'ALL CONAIR PRODUCTS']"
17,16,1.0,"['ALL SOAP & GLORY BRANDS', 'ALL PHYSICIANS FORMULA BRANDS']"
24,23,1.0,"['AMERICAN GOURMET', 'AMERICAN CRAFTS DISNEY HOCUS POCUS']"
35,34,1.0,"['AQUATOP', 'AQUATION']"
41,10,1.0,"['AROMABEADS', 'AIROME']"
42,41,1.0,"['AROMAR', 'AROMABEADS']"
59,57,1.0,"['BAKERS ROW', 'BACK STORY']"
65,63,1.0,"['BARE NECESSITIES NUTRITION', 'BARE BONES']"
67,66,1.0,"['BARIMELTS', 'BARILLA']"
70,69,1.0,"['BATH & BODY WORKS AROMATHERAPY COMFORT', 'BATH & BODY WORKS']"
73,63,1.0,"['BEARD OCTANE', 'BARE BONES']"
77,76,1.0,"['BEEFEATERS', 'BEEFEATER']"
83,82,1.0,"['BETTER 4 U', 'BETTA']"
84,82,1.0,"['BETTY BUZZ', 'BETTA']"
84,83,1.0,"['BETTY BUZZ', 'BETTER 4 U']"
88,87,1.0,"['BIC GLIDE BOLD', 'BIC FLEX5 HYBRID']"
92,90,1.0,"['BIG STORM SEASONAL', 'BIG EASY FOODS']"
94,66,1.0,"['BILLS', 'BARILLA']"
95,94,1.0,"['BILLY BEE', 'BILLS']"
98,92,1.0,"['BIORE', 'BIG STORM SEASONAL']"
98,96,1.0,"['BIORE', 'BIOFINEST']"
101,60,1.0,"['BLACK SWAN', 'BALKAN']"
102,100,1.0,"['BLACK WORKS STUDIO PAPER CRANE', 'BLACK RADIANCE TRUE COMPLEXION']"
108,106,1.0,"['BLUE ICE', 'BLUE DIAMOND']"
109,106,1.0,"['BLUE LACY', 'BLUE DIAMOND']"
109,107,1.0,"['BLUE LACY', 'BLUE ELEPHANT ROYAL THAI CUISINE']"
109,108,1.0,"['BLUE LACY', 'BLUE ICE']"
110,106,1.0,"['BLUE RAEVEN', 'BLUE DIAMOND']"
110,108,1.0,"['BLUE RAEVEN', 'BLUE ICE']"
110,109,1.0,"['BLUE RAEVEN', 'BLUE LACY']"
111,108,1.0,"['BLUE STRIPES URBAN CACAO', 'BLUE ICE']"
112,106,1.0,"['BLUMEN', 'BLUE DIAMOND']"
112,108,1.0,"['BLUMEN', 'BLUE ICE']"
115,94,1.0,"['BOLS', 'BILLS']"
126,125,1.0,"['BROADWAY NAILS GEL STRONG', 'BROADWAY']"
139,138,1.0,"['CAFE ORO', 'CAFE COMBATE']"
140,10,1.0,"['CALIHOME', 'AIROME']"
141,140,1.0,"['CALPHALON PREMIER', 'CALIHOME']"
146,145,1.0,"['CANDY SHOP', 'CANDY BREAK']"
148,146,1.0,"['CANYON SPRINGS', 'CANDY SHOP']"
152,151,1.0,"['CAREPIK', 'CARE SCIENCE']"
153,151,1.0,"['CARESS', 'CARE SCIENCE']"
153,152,1.0,"['CARESS', 'CAREPIK']"
156,139,1.0,"['CARREFOUR', 'CAFE ORO']"
162,161,1.0,"['CELESTIAL SEASONINGS', 'CELESTIAL']"
173,172,1.0,"['CHUMAK', 'CHOCOMAKER']"
178,177,1.0,"['CLASSIQUE PRODUCTS', 'CLASSIC AUTOS & PARTS']"
185,184,1.0,"['COCA COLA VANILLA', 'COCA COLA ULTIMATE']"
187,186,1.0,"['COCONUT TREE BRAND', 'COCONUT BABY']"
191,190,1.0,"['COLLINS', 'COLEMAN']"
198,197,1.0,"['CONAIR CALM ESSENTIALS', 'CONAIR']"
201,200,1.0,"['CONVENIENCE VALET', 'CONTINENTAL ELECTRIC']"
202,201,1.0,"['CONVENIENCE VALET EMERGEN C', 'CONVENIENCE VALET']"
205,204,1.0,"['COOP ALE WORKS TAMPICO HARD PUNCH FIESTA OF FLAVOR ISLAND', 'COOP ALE WORKS GRAN SPORT PORTER']"
208,197,1.0,"['CORONADO', 'CONAIR']"
210,197,1.0,"['COSTAR', 'CONAIR']"
214,213,1.0,"['COUNTER CULTURE COFFEE', 'COUNTER']"
215,213,1.0,"['COUNTRY LIFE TARGET MINS', 'COUNTER']"
216,213,1.0,"['COUNTRY PASTA', 'COUNTER']"
217,213,1.0,"['COUNTRY SOFT', 'COUNTER']"
217,214,1.0,"['COUNTRY SOFT', 'COUNTER CULTURE COFFEE']"
217,215,1.0,"['COUNTRY SOFT', 'COUNTRY LIFE TARGET MINS']"
217,216,1.0,"['COUNTRY SOFT', 'COUNTRY PASTA']"
219,213,1.0,"['COUTURE SLIMS', 'COUNTER']"
221,220,1.0,"['COVER GIRL OH SUGAR', 'COVER GIRL & OLAY']"
229,228,1.0,"['CRISTALBOX', 'CRISTAL']"
231,230,1.0,"['CRUZAN', 'CRUX']"
233,191,1.0,"['CULLIGAN', 'COLLINS']"
267,258,1.0,"['DOVO SOLINGEN', 'DOGLINE']"
275,274,1.0,"['DYGERT FARMS CREAMERY SKIM MILK 1/2 GALLON PLASTIC', 'DYGERT FARMS CREAMERY REDUCED FAT 1/2 GALLON PLASTIC']"
279,10,1.0,"['EAI HOME', 'AIROME']"
279,140,1.0,"['EAI HOME', 'CALIHOME']"
279,207,1.0,"['EAI HOME', 'CORE HOME']"
298,296,1.0,"['ESSIE SILK WATERCOLOR', 'ESSENTIAL TOOLS']"
332,313,1.0,"['FRIEDAS', 'FERIDIES']"
332,331,1.0,"['FRIEDAS', 'FRIDABABY NOSEFRIDA']"
333,332,1.0,"['FRIENDLYS HAPPY DAYS', 'FRIEDAS']"
360,359,1.0,"['GILLETTE SATIN CARE', 'GILLETTE FUSION 5']"
375,373,1.0,"['GOODCO', 'GOOD COOK']"
376,373,1.0,"['GOODMOOD KOMBUCHA', 'GOOD COOK']"
376,375,1.0,"['GOODMOOD KOMBUCHA', 'GOODCO']"
377,375,1.0,"['GOODNITES', 'GOODCO']"
383,24,1.0,"['GRANDMAS GOURMETS', 'AMERICAN GOURMET']"
387,386,1.0,"['GRIND ON', 'GRILL PRO']"
394,393,1.0,"['HALFDAYS', 'HALF MAGIC']"
402,391,1.0,"['HASK', 'HAAKAA']"
405,404,1.0,"['HEAD & SHOULDERS INSTANT RELIEF', 'HEAD & SHOULDERS FULL & THICK 2 IN 1']"
408,406,1.0,"['HEALTHY SENSE', 'HEALTH PLUS HEART CLEANSE']"
422,421,1.0,"['HIGH POINT DESIGN DISNEY PRINCESS', 'HIGH POINT DESIGN DISNEY PLANES']"
423,421,1.0,"['HIGH POINT DESIGN DREAMWORKS TROLLS', 'HIGH POINT DESIGN DISNEY PLANES']"
423,422,1.0,"['HIGH POINT DESIGN DREAMWORKS TROLLS', 'HIGH POINT DESIGN DISNEY PRINCESS']"
